GNU gdb (Ubuntu 7.7.1-0ubuntu5~14.04.2) 7.7.1
Copyright (C) 2014 Free Software Foundation, Inc.
License GPLv3+: GNU GPL version 3 or later <http://gnu.org/licenses/gpl.html>
This is free software: you are free to change and redistribute it.
There is NO WARRANTY, to the extent permitted by law.  Type "show copying"
and "show warranty" for details.
This GDB was configured as "x86_64-linux-gnu".
Type "show configuration" for configuration details.
For bug reporting instructions, please see:
<http://www.gnu.org/software/gdb/bugs/>.
Find the GDB manual and other documentation resources online at:
<http://www.gnu.org/software/gdb/documentation/>.
For help, type "help".
Type "apropos word" to search for commands related to "word"...
Reading symbols from /usr/bin/openssl...(no debugging symbols found)...done.
All defined functions:

Non-debugging symbols:
0x0000000000412650  ENGINE_load_public_key@plt
0x0000000000412660  i2d_X509_NAME@plt
0x0000000000412670  SMIME_write_PKCS7@plt
0x0000000000412680  SSL_get_wbio@plt
0x0000000000412690  PEM_write_bio_CMS_stream@plt
0x00000000004126a0  CMS_add0_recipient_key@plt
0x00000000004126b0  CRYPTO_realloc@plt
0x00000000004126c0  X509_INFO_free@plt
0x00000000004126d0  BN_print@plt
0x00000000004126e0  ASN1_UTCTIME_set_string@plt
0x00000000004126f0  NETSCAPE_SPKI_new@plt
0x0000000000412700  ERR_print_errors@plt
0x0000000000412710  EC_KEY_get0_public_key@plt
0x0000000000412720  OBJ_create_objects@plt
0x0000000000412730  TXT_DB_free@plt
0x0000000000412740  TS_RESP_create_response@plt
0x0000000000412750  PEM_write_bio_RSAPrivateKey@plt
0x0000000000412760  X509_REQ_verify@plt
0x0000000000412770  ENGINE_get_digests@plt
0x0000000000412780  EVP_PKEY_derive_set_peer@plt
0x0000000000412790  X509_NAME_add_entry_by_NID@plt
0x00000000004127a0  AES_set_encrypt_key@plt
0x00000000004127b0  fileno@plt
0x00000000004127c0  BN_add_word@plt
0x00000000004127d0  SSL_get0_next_proto_negotiated@plt
0x00000000004127e0  i2d_PKCS7_bio@plt
0x00000000004127f0  CMS_get0_SignerInfos@plt
0x0000000000412800  CMS_verify_receipt@plt
0x0000000000412810  lh_retrieve@plt
0x0000000000412820  PEM_read_bio_SSL_SESSION@plt
0x0000000000412830  SSL_CTX_use_PrivateKey_file@plt
0x0000000000412840  CRYPTO_mem_ctrl@plt
0x0000000000412850  OBJ_nid2ln@plt
0x0000000000412860  RAND_pseudo_bytes@plt
0x0000000000412870  ERR_remove_thread_state@plt
0x0000000000412880  EVP_PKEY_save_parameters@plt
0x0000000000412890  X509_get1_email@plt
0x00000000004128a0  X509_alias_get0@plt
0x00000000004128b0  BN_options@plt
0x00000000004128c0  CRYPTO_malloc@plt
0x00000000004128d0  OCSP_request_onereq_count@plt
0x00000000004128e0  TS_CONF_set_serial@plt
0x00000000004128f0  X509_CRL_digest@plt
0x0000000000412900  BUF_MEM_new@plt
0x0000000000412910  EVP_DigestSignFinal@plt
0x0000000000412920  ENGINE_get_RAND@plt
0x0000000000412930  OPENSSL_uni2asc@plt
0x0000000000412940  sk_push@plt
0x0000000000412950  DSA_sign@plt
0x0000000000412960  EVP_PKEY_id@plt
0x0000000000412970  memset@plt
0x0000000000412980  X509_STORE_CTX_set0_crls@plt
0x0000000000412990  i2d_RSA_PUBKEY_bio@plt
0x00000000004129a0  ENGINE_load_builtin_engines@plt
0x00000000004129b0  X509_time_adj_ex@plt
0x00000000004129c0  SSL_CTX_load_verify_locations@plt
0x00000000004129d0  PEM_X509_INFO_read_bio@plt
0x00000000004129e0  PKCS7_sign_add_signer@plt
0x00000000004129f0  DSA_new@plt
0x0000000000412a00  PKCS7_decrypt@plt
0x0000000000412a10  X509V3_parse_list@plt
0x0000000000412a20  X509_policy_tree_get0_user_policies@plt
0x0000000000412a30  i2d_X509_bio@plt
0x0000000000412a40  X509_STORE_CTX_get0_parent_ctx@plt
0x0000000000412a50  SSL_CTX_set_psk_server_callback@plt
0x0000000000412a60  CRYPTO_cleanup_all_ex_data@plt
0x0000000000412a70  ASN1_INTEGER_get@plt
0x0000000000412a80  BIO_f_buffer@plt
0x0000000000412a90  TS_REQ_set_policy_id@plt
0x0000000000412aa0  ASN1_GENERALIZEDTIME_new@plt
0x0000000000412ab0  TS_RESP_CTX_set_status_info@plt
0x0000000000412ac0  shutdown@plt
0x0000000000412ad0  DES_crypt@plt
0x0000000000412ae0  SSL_callback_ctrl@plt
0x0000000000412af0  PEM_write_bio_DSAPrivateKey@plt
0x0000000000412b00  NETSCAPE_SPKI_sign@plt
0x0000000000412b10  OCSP_response_create@plt
0x0000000000412b20  EC_KEY_set_group@plt
0x0000000000412b30  OCSP_CERTID_free@plt
0x0000000000412b40  ASN1_ENUMERATED_new@plt
0x0000000000412b50  RSA_set_default_method@plt
0x0000000000412b60  PEM_read_bio_ECPrivateKey@plt
0x0000000000412b70  X509_CRL_new@plt
0x0000000000412b80  ASN1_GENERALIZEDTIME_print@plt
0x0000000000412b90  CMS_final@plt
0x0000000000412ba0  BN_to_ASN1_INTEGER@plt
0x0000000000412bb0  TS_CONF_set_signer_cert@plt
0x0000000000412bc0  b2i_PVK_bio@plt
0x0000000000412bd0  UI_get_input_flags@plt
0x0000000000412be0  BUF_strlcpy@plt
0x0000000000412bf0  BN_pseudo_rand@plt
0x0000000000412c00  SSL_alert_type_string_long@plt
0x0000000000412c10  X509V3_set_nconf@plt
0x0000000000412c20  X509_NAME_hash@plt
0x0000000000412c30  RSA_private_decrypt@plt
0x0000000000412c40  EC_GROUP_set_asn1_flag@plt
0x0000000000412c50  close@plt
0x0000000000412c60  EVP_PKEY_CTX_free@plt
0x0000000000412c70  d2i_ECPrivateKey_bio@plt
0x0000000000412c80  X509_gmtime_adj@plt
0x0000000000412c90  CRYPTO_gcm128_new@plt
0x0000000000412ca0  ASN1_PRINTABLE_type@plt
0x0000000000412cb0  X509_CRL_add0_revoked@plt
0x0000000000412cc0  EVP_PKEY_copy_parameters@plt
0x0000000000412cd0  PKCS12_decrypt_skey@plt
0x0000000000412ce0  abort@plt
0x0000000000412cf0  PEM_read_bio_ECPKParameters@plt
0x0000000000412d00  CMS_ContentInfo_free@plt
0x0000000000412d10  OCSP_REQUEST_new@plt
0x0000000000412d20  TS_MSG_IMPRINT_set_msg@plt
0x0000000000412d30  EVP_CIPHER_iv_length@plt
0x0000000000412d40  d2i_RSAPrivateKey@plt
0x0000000000412d50  SEED_set_key@plt
0x0000000000412d60  X509_NAME_print_ex@plt
0x0000000000412d70  ENGINE_get_first@plt
